list_name,local_work_id,canonical_title,document_type,mapping_status,mapping_confidence,primary_identifier_type,primary_identifier,ol_work_key,openlibrary_action,local_pdf_count,local_paths_json
DOTS América Latina,OLP-AFAB59165588CEBC,Valoración del entorno de una estación ferroviaria inactiva mediante estándar DOT: avance metodológico para el caso del Gran Santa Fe (Argentina),proceedings-article,AUTHORITY_MAPPED,1.000,doi,10.5821/siiu.10156,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2021_DOTS_SantaFe.pdf""]"
DOTS América Latina,OLP-2E9C2B9EC45A6B28,"¿Es la densidad suficiente? Análisis de la relación entre la densidad poblacional y la demanda de pasajeros en los sistemas de transporte público masivo tipo BRT (Bus Rapid Transit) en Curitiba, Quito y Bogotá",article,AUTHORITY_MAPPED,1.000,url,https://www.ingentaconnect.com/contentone/iieal/meda/2019/00000090/00000001/art00005,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/s5.pdf""]"
DOTS Asia,OLP-F47CC86BC598669A,Establishing the conditions for effective transit-oriented development in China: the case of Dalian,journal-article,AUTHORITY_MAPPED,1.000,doi,10.1016/j.jtrangeo.2012.02.010,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS Asia/Journal Cities 2012 TOD Dalian China 1-s2.0-S0966692312000592-main.pdf""]"
DOTS Asia,OLP-8F4729514371311A,Ho Chi Minh City Transport and Land Use,teaching-case,AUTHORITY_MAPPED,1.000,url,https://fsppm.fulbright.edu.vn/en/case/ho-chi-minh-city-transport-and-land-use-56/,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS Asia/HCMC transport and land use research.pdf""]"
DOTS Colombia,OLP-222CEE8A9EDED40C,A SPATIO-TEMPORAL VISUAL ANALYTICS TOOL FOR SIMULATED TRANSPORT ORIENTED-LAND USE URBAN PLANNING DATA,journal-article,AUTHORITY_MAPPED,1.000,doi,10.5194/isprs-archives-XLVIII-4-W5-2022-113-2022,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/2022_Analytics_tool_Simulated_DOTS.pdf""]"
DOTS Colombia,OLP-04487432259C4A11,"Ciudad, transporte y género: la movilidad urbana en el desarrollo sostenible de Villavicencio",dissertation,AUTHORITY_MAPPED,1.000,url,https://hdl.handle.net/1992/54341,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/2021-Ciudad, transporte y genero-MFP.pdf""]"
DOTS Colombia,OLP-63840B009ADD2066,Desarrollo Orientado al Transporte Sostenible (DOTS): Una prospectiva para Colombia,article,AUTHORITY_MAPPED,1.000,doi,10.15446/bitacora.v29n3.65979,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/2019_DOTS_Una prospectiva para Colombia.pdf""]"
DOTS Colombia,OLP-1EACD1F3B5BC7190,Evaluando el potencial del desarrollo orientado al transporte considerando las preferencias y percepciones de los ciudadanos,dissertation,AUTHORITY_MAPPED,1.000,url,https://manglar.uninorte.edu.co/handle/10584/10958,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/2021_Potencial_DOTS.pdf""]"
DOTS Colombia,OLP-5E5D407E1AAC85B5,"Potencial del Desarrollo Orientado al Transporte como transformador urbano. Caso de estudio: Transmilenio, Bogotá, Colombia, 2019",dissertation,AUTHORITY_MAPPED,1.000,url,https://hdl.handle.net/2445/140558,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/2019_Potencial_DOTS_TM.pdf""]"
DOTS Europa & Estados Unidos,OLP-71588BA9FADC3293,"Applying DOT's Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds",report,OPENLIBRARY_LINKED,1.000,openlibrary_work,/works/OL10729940W,/works/OL10729940W,READY_TO_ADD,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS Europa & Estados Unidos/Applying DOT Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds.pdf""]"
